Term,Translation,Context,Reference,Comment
Ion Cannon,,Blast Weapon,,
Ion Rifle,,Blast Weapon,,
Ironstorm Missile Pod,,Blast Weapon,,
Kannon,,Blast Weapon,,
Killkannon,,Blast Weapon,,
Kustom Mega-Kannon,,Blast Weapon,,
Kustom Mega-Zappa,,Blast Weapon,,
Laser Destructor,,Blast Weapon,,
Lobba,,Blast Weapon,,
Macro Plasma Incinerator,,Blast Weapon,,
Magma Cannon,,Blast Weapon,,
Melta Cannon,,Blast Weapon,,
Missile Launcher,,Blast Weapon,,
Miasma Cannon,,Blast Weapon,,
Mortar,,Blast Weapon,,
Multiple Rocket Pod,,Blast Weapon,,
Neutron Laser,,Blast Weapon,,
Phantasm Grenade Launcher,,Blast Weapon,,
Phlegm Bombardment,,Blast Weapon,,
Phosphex Bombs,,Blast Weapon,,
Photon Grenade,,Blast Weapon,,
Plagueburst Mortar,,Blast Weapon,,
Plasma Cannon,,Blast Weapon,,
Plasma Culverin,,Blast Weapon,,
Plasma Decimator,,Blast Weapon,,
Plasma Exterminator,,Blast Weapon,,
Plasma Grenade,,Blast Weapon,,
Plasma Obliterator,,Blast Weapon,,
Plasma Storm Battery,,Blast Weapon,,
Prism Cannon,,Blast Weapon,,
Prismatic Cannon,,Blast Weapon,,
Psyk-Out Grenade,,Blast Weapon,,
Pulse Driver Cannon,,Blast Weapon,,
Quake Cannon,,Blast Weapon,,
Rapid-Fire Battle Cannon,,Blast Weapon,,
Railgun,,Blast Weapon,,
Ravenwing Grenade Launcher,,Blast Weapon,,
Razorwing Missiles,,Blast Weapon,,
Redemption Missile Silo,,Blast Weapon,,
Rift Cannon,,Blast Weapon,,
Rokkit Kannon,,Blast Weapon,,
Salvo Launcher,,Blast Weapon,,
Shadow Weaver,,Blast Weapon,,
Shokk Attack Gun,,Blast Weapon,,
Shock Grenade,,Blast Weapon,,
Shockcannon,,Blast Weapon,,
Shredder,,Blast Weapon,,
Skorcha Missiles,,Blast Weapon,,
Skull Cannon,,Blast Weapon,,
Skullhurler,,Blast Weapon,,
Smasha Gun,,Blast Weapon,,
Solar Atomiser,,Blast Weapon,,
Spirit Vortex,,Blast Weapon,,
Squig Launcha,,Blast Weapon,,
Star Bolas,,Blast Weapon,,
Stikkbomb,,Blast Weapon,,
Stikkbomb Chukka,,Blast Weapon,,
Stikkbomb Flinga,,Blast Weapon,,
Stikksquig,,Blast Weapon,,
Storm Eagle Rocket,,Blast Weapon,,
Stormfrag Auto-Launcher,,Blast Weapon,,
Stormsword Siege Cannon,,Blast Weapon,,
Stranglethorn Cannon,,Blast Weapon,,
Suncannon,,Blast Weapon,,
Supa-Rokkit,,Blast Weapon,,
Supernova Launcher,,Blast Weapon,,
Tankbusta Bomb,,Blast Weapon,,
Taurox Battle Cannon,,Blast Weapon,,
Taurox Missile Launcher,,Blast Weapon,,
Tempest Launcher,,Blast Weapon,,
Thermal Cannon,,Blast Weapon,,
Thermal Spear,,Blast Weapon,,
Thunderfire Cannon,,Blast Weapon,,
The Thunder of Voltaris,,Blast Weapon,,
Transdimensional Beamer,,Blast Weapon,,
Tremor Cannon,,Blast Weapon,,
Twin Aeldari Missile Launcher,,Blast Weapon,,
Twin Heavy Plasma Cannon,,Blast Weapon,,
Twin Helfrost Cannon,,Blast Weapon,,
Twin Siegebreaker Cannon,,Blast Weapon,,
Typhoon Missile Launcher,,Blast Weapon,,
Venom Cannon,,Blast Weapon,,
Voidraven Missiles,,Blast Weapon,,
Volcano Cannon,,Blast Weapon,,
Volcano Iance,,Blast Weapon,,
Vortex Missile Battery,,Blast Weapon,,
Wazbom Mega-Kannon,,Blast Weapon,,
Whirlwind Castellan Launcher,,Blast Weapon,,
Whirlwind Vengeance Launcher,,Blast Weapon,,
Wrist-Mounted Grenade Launcher,,Blast Weapon,,
Wyvern Quad Stormshard Mortar,,Blast Weapon,,
