Term,Translation,Context,Reference,Comment
"Kurtulmak, Kobold God of War and Mining",,Nonhuman Deity (not worshipped by humans),,
"Laogzed, Troglodyte God of Hunger",,Nonhuman Deity (not worshipped by humans),,
"Lolth, Drow Goddess of Spiders",,Nonhuman Deity (not worshipped by humans),,
"Maglubiyet, Goblinoid God of War",,Nonhuman Deity (not worshipped by humans),,
"Moradin, Dwarf God of Creation",,Nonhuman Deity (not worshipped by humans),,
"Rillifane Rallathil, Wood Elf God of Nature",,Nonhuman Deity (not worshipped by humans),,
"Sehanine Moonbow, Elf Goddess of the Moon",,Nonhuman Deity (not worshipped by humans),,
"Sekolah, Sahuagin God of the Hunt",,Nonhuman Deity (not worshipped by humans),,
"Semuanya, Lizardfolk Deity of Survival",,Nonhuman Deity (not worshipped by humans),,
"Skerrit, Centaur and Satyr God of Nature",,Nonhuman Deity (not worshipped by humans),,
"Skoraeus Stonebones, God of Stone Giants and Art",,Nonhuman Deity (not worshipped by humans),,
"Surtur, God of Fire Giants and Craft",,Nonhuman Deity (not worshipped by humans),,
"Thrym, God of Frost Giants and Strength",,Nonhuman Deity (not worshipped by humans),,
"Tiamat, Dragon Goddess of Evil",,Nonhuman Deity (not worshipped by humans),,
"Yondalla, Halfling Goddess of Fertility and Protection",,Nonhuman Deity (not worshipped by humans),,
"The Daghdha, God of Weather and Crops",,Celtic Deity,,
"Arawn, God of Life and Death",,Celtic Deity,,
"Belenus, God of Sun, Light, and Warmth",,Celtic Deity,,
"Brigantia, Goddess of Rivers and Livestock",,Celtic Deity,,
"Diancecht, God of Medicine and Healing",,Celtic Deity,,
"Dunatis, God of Mountains and Peaks",,Celtic Deity,,
"Goibhniu, God of Smiths and Healing",,Celtic Deity,,
"Lugh, God of Arts, Travel, and Commerce",,Celtic Deity,,
"Manannan mac Lir, God of Oceans and Sea Creatures",,Celtic Deity,,
"Math Mathonwy, God of Magic",,Celtic Deity,,
"Morrigan, Goddess of Battle",,Celtic Deity,,
"Nuada, God of War and Warriors",,Celtic Deity,,
"Oghma, God of Speech and Writing",,Celtic Deity,,
"Silvanus, God of Nature and Forests",,Celtic Deity,,
"Zeus, God of the Sky, Ruler of the Gods",,Greek Deity,,
"Aphrodite, Goddess of Love and Beauty",,Greek Deity,,
"Apollo, God of Light, Music, and Healing",,Greek Deity,,
"Ares, God of War and Strife",,Greek Deity,,
"Artemis, Goddess of Hunting and Childbirth",,Greek Deity,,
"Athena, Goddess of Wisdom and Civilization",,Greek Deity,,
"Demeter, Goddess of Agriculture",,Greek Deity,,
"Dionysus, God of Mirth and Wine",,Greek Deity,,
"Hades, God of the Underworld",,Greek Deity,,
"Hecate, Goddess of Magic and the Moon",,Greek Deity,,
"Hephaestus, God of Smithing and Craft",,Greek Deity,,
"Hera, Goddess of Marriage and Intrigue",,Greek Deity,,
"Hercules, God of Strength and Adventure",,Greek Deity,,
"Hermes, God of Travel and Commerce",,Greek Deity,,
"Hestia, Goddess of Home and Family",,Greek Deity,,
"Nike, Goddess of Victory",,Greek Deity,,
"Pan, God of Nature",,Greek Deity,,
"Poseidon, God of the Sea and Earthquakes",,Greek Deity,,
"Tyche, Goddess of Good Fortune",,Greek Deity,,
"Re-Horakhty, God of the Sun, Ruler of the Gods",,Egyptian Deity,,
"Anubis, God of Judgment and Death",,Egyptian Deity,,
"Apep, God of Evil, Fire, and Serpents",,Egyptian Deity,,
"Bast, Goddess of Cats and Vengeance",,Egyptian Deity,,
"Bes, God of Luck and Music",,Egyptian Deity,,
"Hathor, Goddess of Love, Music, and Motherhood",,Egyptian Deity,,
"Imhotep, God of Crafts and Medicine",,Egyptian Deity,,
"Isis, Goddess of Fertility and Magic",,Egyptian Deity,,
"Nephthys, Goddess of Death and Grief",,Egyptian Deity,,
"Osiris, God of Nature and the Underworld",,Egyptian Deity,,
"Ptah, God of Crafts, Knowledge, and Secrets",,Egyptian Deity,,
"Set, God of Darkness and Desert Storms",,Egyptian Deity,,
"Sobek, God of Water and Crocodiles",,Egyptian Deity,,
"Thoth, God of Knowledge and Wisdom",,Egyptian Deity,,
"Odin, God of Knowledge and War",,Norse Deity,,
"Aegir, God of the Sea and Storms",,Norse Deity,,
"Balder, God of Beauty and Poetry",,Norse Deity,,
"Forseti, God of Justice and Law",,Norse Deity,,
"Frey, God of Fertility and the Sun",,Norse Deity,,
"Freya, Goddess of Fertility and Love",,Norse Deity,,
"Frigga, Goddess of Birth and Fertility",,Norse Deity,,
"Heimdall, God of Watchfulness and Loyalty",,Norse Deity,,
"Hel, Goddess of the Underworld",,Norse Deity,,
"Hermod, God of Luck",,Norse Deity,,
"Loki, God of Thieves and Trickery",,Norse Deity,,
"Njord, God of Sea and Wind",,Norse Deity,,
"Odur, God of Light and the Sun",,Norse Deity,,
"Sif, Goddess of War",,Norse Deity,,
"Skadi, God of Earth and Mountains",,Norse Deity,,
"Surtur, God of Fire Giants and War",,Norse Deity,,
"Thor, God of Storms and Thunder",,Norse Deity,,
"Thrym, God of Fire Giants and Cold",,Norse Deity,,
"Tyr, God of Courage and Strategy",,Norse Deity,,
"Uller, God of Hunting and Winter",,Norse Deity,,
