Term,Translation,Context,Reference,Comment
Phase Spider,,Monster,,
Piercer,,Monster,,
Pit Fiend,,Monster,,
Pixie,,Monster,,
Planetar,,Monster,,
Plant,,Monster Type,,
Plesiosaurus,,Monster,,
Pseudodragon,,Monster,,
Psionics,,Monster,,
Pteranodon,,Monster,,
Purple Worm,,Monster,,
Quadrone,,Monster,,
Quaggoth,,Monster,,
Quaggoth Spore Servant,,Monster,,
Qualith,,Monster,,
Quipper,,Monster,,
Rakshasa,,Monster,,
Red Dragon,,Monster,,
Regional Effect,,Monster Effect,,
Remorhaz,,Monster,,
Revenant,,Monster,,
Roc,,Monster,,
Roper,,Monster,,
Rug of Smothering,,Monster,,
Rust Monster,,Monster,,
Sahuagin,,Monster,,
Salamander,,Monster,,
Satyr,,Monster,,
Scarecrow,,Monster,,
Scout,,NPC Archetype,,
Sea Hag,,Monster,,
Sentient creature,,Monster,,
Shadow,,Monster,,
Shadow Demon,,Monster,,
Shadow Dragon,,Monster,,
Shambling Mound,,Monster,,
Shield Guardian,,Monster,,
Shrieker,,Monster,,
Silver Dragon,,Monster,,
Skeleton,,Monster,,
Slaad,,Monster,,
Smoke Mephit,,Monster,,
Solar,,Monster,,
Spectator,,Monster,,
Specter,,Monster,,
Sphinx,,Monster,,
Spined Devil,,Monster,,
Spirit Naga,,Monster,,
Sprite,,Monster,,
Spy,,NPC Archetype,,
Steam Mephit,,Monster,,
Stirge,,Monster,,
Stone Giant,,Monster,,
Stone Golem,,Monster,,
Storm Giant,,Monster,,
Succubus,,Monster,,
Swim,,Monster Speed,,
Tarrasque,,Monster,,
Thri-Kreen,,Monster,,
Thug,,NPC Archetype,,
Treant,,Monster,,
Tribal Warrior,,NPC Archetype,,
Triceratops,,Monster,,
Tridrone,,Monster,,
Troglodyte,,Monster,,
Troll,,Monster,,
Twig Blight,,Monster,,
Tyrannosaurus Rex,,Monster,,
Ultroloth,,Monster,,
Umber Hulk,,Monster,,
Undead,,Monster Type,,
Unicorn,,Monster,,
Vampire,,Monster,,
Vampire Spawn,,Monster,,
Veteran,,NPC Archetype,,
Vine Blight,,Monster,,
Violet Fungus,,Monster,,
Vrock,,Monster,,
Warhorse,,Monster,,
Warhorse Skeleton,,Monster,,
Water Elemental,,Monster,,
Water Weird,,Monster,,
Werebear,,Monster,,
Wereboar,,Monster,,
Wererat,,Monster,,
Weretiger,,Monster,,
Werewolf,,Monster,,
White Dragon,,Monster,,
Wight,,Monster,,
Will-O'-Wisp,,Monster,,
Worg,,Monster,,
Wraith,,Monster,,
Wyrmling,,Monster,,
Wyvern,,Monster,,
Xorn,,Monster,,
Yeenoghu,,Monster,,
Yeti,,Monster,,
Young Dragon,,Monster,,
Yuan-Ti,,Monster,,
Yuan-Ti Malison,,Monster,,
Yuan-Ti Pureblood,,Monster,,
Yugoloth,,Monster,,
Zombie,,Monster,,
