Term,Translation,Context,Reference,Comment
Intimidation,,Skill,,"Decides whether character can influence someone through overt threats, hostile actions, and physical violence."
Investigation,,Skill,,"Represents character's ability to pay close attention to detail when searching a location, figuring out the clues, making deductions."
Knight,,Background,,
Level,,Game Mechanic,,Advancement in character's capabilities.
Life of Seclusion,,Background,,
Medicine,,Skill,,Lets character try to stabilize a dying companion or diagnose an illness.
Mental Ability,,Character,,
Military Rank,,Background,,
Multiclassing,,Game Mechanic,,Allows character to gain levels in multiple classes.
Nature,,Skill,,"Measures character's ability to recall lore about terrain, plants and animals, the weather, and natural cycles."
Noble,,Background,,
Orc,,Language,,
Origin,,Background,,
Outlander,,Background,,
Passive Perception (Passive Wisdom),,Game Mechanic,,What character is generally aware of while being around in the world.
Perception,,Skill,,"For noticing clues, detecting secret doors, spotting imminent dangers, finding traps, following tracks, listening for sounds behind a closed door, or locateing hidden objects."
Performance,,Skill,,"Determines how well character can delight an audience with music, dance, acting, storytelling, or some other form of entertainment."
Persuasion,,Skill,,"Used when acting in good faith, to foster friendships, make cordial requests, or exhibit proper etiquette."
Physical Ability,,Character,,
Pirate,,Background,,
Position of Privilege,,Background,,
Primordial,,Language,,
Proficiency,,Game Mechanic,,A character can be proficient in a skill.
Proficiency Bonus,,Game Mechanic,,"A bonus added to skill checks, saving throws, or attacks for skills that a character is proficient in."
Race,,Character,,
Religion,,Skill,,Used to gather knowledge about religious knowledge or to recognize a religion-related clue.
Researcher,,Background,,
Retainers,,Background,,
Rustic Hospitality,,Background,,
Sage,,Background,,
Sailor,,Background,,
Scam,,Background,,
Scheme,,Background,,
Shelter of the Faithful,,Background,,
Ship's Passage,,Background,,
Skill,,Skill,,"Skill represents a specific aspect of an ability score, and an individual's proficiency in a skill demonstrates a focus on that aspect."
Sleight of Hand,,Skill,,"The skill for pickpockets, shoplifters, and stage magicians."
Specialty,,Background,,
Speed,,Game Mechanic,,The distance in feet that the character or monster can walk in 1 round.
Spy,,Background,,
Starting Equipment,,Game Mechanic,,
Stat,,Game Mechanic,,Synonim for Ability.
Stealth,,Skill,,"Used to conceal oneself from enemies, slink past guards, slip away without being noticed, and sneak up on others."
Strength,,Ability,,Measures a characters ability to exert physical force.
Subrace,,Character,,
Survival,,Skill,,"Used to follow tracks, hunt wild game, guide your group through frozen wastelands, identify signs.."
Sylvan,,Language,,
Telepathy,,Language,,
Temporary Hit Points,,Game Mechanic,,"A buffer against damage, a pool of hit points that protect one from injury."
Traits,,Character,,Character traits.
Tremorsense,,Character,,
Truesight,,Character,,Innate ability of creatures that allows them to sense vibrations within a specified radius.
Undercommon,,Language,,A trade language spoken by the majority of intelligent races native to the Underdark.
Urchin,,Background,,
Wanderer,,Background,,
Wisdom,,Ability,,"Measures a character's practical intelligence, their cleverness, their perceptiveness, and how in tune they are with the world around them."
Vehicle Proficiency,,Character,,
