Term,Translation,Context,Reference,Comment
Stunned,,Condition,,"A stunned creature is incapacitated, can't move, and can speak only falteringly."
Surprise,,Game Mechanic,,Any character or monster that doesn't notice a threat is surprised at the start of the encounter.
Three-Quarters Cover,,Game Mechanic,,A target has three-quarters cover if about three-quarters of it is covered by an obstacle.
Thrown Weapon,,Weapon,,
Thunder Damage,,Damage Type,,Damage that comes from a shockwave (i.e. explosion shock wave).
Total Cover,,Game Mechanic,,A target has total cover if it is completely concealed by an obstacle.
Trident,,Weapon,,
Turn,,Game Mechanic,,"During a round, each participant in a battle takes a turn."
Two-Handed Weapon,,Weapon,,
Unarmed Strike,,Weapon,,
Unconscious,,Condition,,"An unconscious creature is incapacitated, can't move or speak, and is unaware of its surroundings."
Use an Object,,Action,,"When an object requires your action for its use, you take the Use an Object action."
Versatile Weapon,,Weapon,,This weapon can be used with one or two hands.
Vulnerability,,Game Mechanic,,If you are vulnerable to a damage type it means you take double damage when hit with it.
War Pick,,Weapon,,
Warhammer,,Weapon,,
Whip,,Weapon,,
Ki,,Game Mechanic,,A mystical energy of the body that could be used to fuel various powers by its practitioners.
Maneuver,,,,
