Term,Translation,Context,Reference,Comment
Obsessive,,Trait,,
Adaptability,,Trait,,
Elf Blood,,Trait,,
Multitalented,,Trait,,
Fly,,Trait,,
Intimidating,,Trait,,
Orc Blood,,Trait,,
Orc Ferocity,,Trait,,
Fearless,,Trait,,
Halfling Luck,,Trait,,
Sure-Footed,,Trait,,
Character Advancement,,,,
Favored Class,,,,
Taking 10/20,,Skill mechanic,,
Key Ability,,Skill mechanic,,
Trained Only,,Skill mechanic,,
Armor Check Penalty,,Skill mechanic,,
Check,,Skill mechanic,,
Action,,Skill mechanic,,
Try Again,,Skill mechanic,,
Special,,Skill mechanic,,
Restriction,,Skill mechanic,,
Untrained,,Skill mechanic,,
Class Skill,,Skill mechanic,,
Obstructed Terrain,,Skill mechanic,,
Slippery Terrain,,Skill mechanic,,
Sloped Terrain,,Skill mechanic,,
Unsteady Terrain,,Skill mechanic,,
Feint,,Skill mechanic,,
Secret Messages,,Skill mechanic,,
Accelerated Climbing,,Skill mechanic,,
Make Your Own Handholds and Footholds,,Skill mechanic,,
Catch Yourself When Falling,,Skill mechanic,,
Catch a Falling Character While Climbing,,Skill mechanic,,
Progress by the Day,,Skill mechanic,,
Create Masterwork Items,,Skill mechanic,,
Repair Items,,Skill mechanic,,
Gather Information,,Skill mechanic,,
Open Locks,,Skill mechanic,,
Ropes,,Skill mechanic,,
Manacles and Masterwork Manacles,,Skill mechanic,,
Tight Space,,Skill mechanic,,
Grappler,,Skill mechanic,,
Attacked While Flying,,Skill mechanic,,
Collision While Flying,,Skill mechanic,,
Avoid Falling Damage,,Skill mechanic,,
High Wind Speeds,,Skill mechanic,,
Handle an Animal,,Skill mechanic,,
"""Push"" an Animal",,Skill mechanic,,
Teach an Animal a Trick,,Skill mechanic,,
Train an Animal for a General Purpose,,Skill mechanic,,
Combat Training,,Skill mechanic,,
Fighting,,Skill mechanic,,
Guarding,,Skill mechanic,,
Heavy Labor,,Skill mechanic,,
Hunting,,Skill mechanic,,
Performance,,Skill mechanic,,
Riding,,Skill mechanic,,
Rear a Wild Animal,,Skill mechanic,,
First Aid,,Skill mechanic,,
Long-Term Care,,Skill mechanic,,
Caltrop,,Skill mechanic,,
Spike Growth,,Skill mechanic,,
Spike Stones,,Skill mechanic,,
Treat Deadly Wounds,,Skill mechanic,,
Treat Poison,,Skill mechanic,,
Treat Disease,,Skill mechanic,,
Demoralize,,Skill mechanic,,
Create or Detect Forgeries,,Skill mechanic,,
Learn a Language,,Skill mechanic,,
Guide with Knees,,Skill mechanic,,
Stay in Saddle,,Skill mechanic,,
Fight with a Combat-Trained Mount,,Skill mechanic,,
Cover,,Skill mechanic,,
Soft Fall,,Skill mechanic,,
Leap,,Skill mechanic,,
Spur Mount,,Skill mechanic,,
Control Mount in Battle,,Skill mechanic,,
Fast Mount or Dismount,,Skill mechanic,,
Hunch,,Skill mechanic,,
Sense Enchantment,,Skill mechanic,,
Discern Secret Message,,Skill mechanic,,
Sniping,,Skill mechanic,,
Creating a Diversion to Hide,,Skill mechanic,,
Follow Tracks,,Skill mechanic,,
Very Soft Ground,,Skill mechanic,,
Soft Ground,,Skill mechanic,,
Firm Ground,,Skill mechanic,,
Hard Ground,,Skill mechanic,,
Middle Age,,Character aging,,
Old,,Character aging,,
Venerable,,Character aging,,
Maximum Age,,Character aging,,
Light Load,,Carrying capacity,,
Medium Load,,Carrying capacity,,
Heavy Load,,Carrying capacity,,
Encumbrance,,Carrying capacity,,
Carrying Capacity,,Carrying capacity,,
Tremendous Strength,,Carrying capacity,,
Character Level,,,,
Class Level,,,,
Hit Dice,,,,
