Term,Translation,Context,Reference,Comment
Short Sword,,Weapon,,
Battleaxe,,Weapon,,
Flail,,Weapon,,
Longsword,,Weapon,,
Heavy Pick,,Weapon,,
Rapier,,Weapon,,
Scimitar,,Weapon,,
Heavy Shield,,Weapon,,
Heavy Spiked Shield,,Weapon,,
Trident,,Weapon,,
Warhammer,,Weapon,,
Falchion,,Weapon,,
Glaive,,Weapon,,
Greataxe,,Weapon,,
Greatclub,,Weapon,,
Heavy Flail,,Weapon,,
Greatsword,,Weapon,,
Guisarme,,Weapon,,
Halberd,,Weapon,,
Lance,,Weapon,,
Ranseur,,Weapon,,
Scythe,,Weapon,,
Longbow,,Weapon,,
Arrows,,Weapon,,
Composite Longbow,,Weapon,,
Shortbow,,Weapon,,
Compose Shortbow,,Weapon,,
Kama,,Weapon,,
Nunchaku,,Weapon,,
Sai,,Weapon,,
Siangham,,Weapon,,
Bastard Sword,,Weapon,,
Dwarven Waraxe,,Weapon,,
Whip,,Weapon,,
Orc Double Axe,,Weapon,,
Spiked Chain,,Weapon,,
Elven Curve Blade,,Weapon,,
Dire Flail,,Weapon,,
Gnome Hooked Hammer,,Weapon,,
Two-Bladed Sword,,Weapon,,
Dwarven Urgrosh,,Weapon,,
Bolas,,Weapon,,
Hand Crossbow,,Weapon,,
Repeating Heavy Crossbow,,Weapon,,
Repeating Light Crossbow,,Weapon,,
Net,,Weapon,,
Shuriken,,Weapon,,
Halfling Sling Staff,,Weapon,,
Padded,,Armor,,
Leather,,Armor,,
Studded Leather,,Armor,,
Chain Shirt,,Armor,,
Hide,,Armor,,
Scale Mail,,Armor,,
Chainmail,,Armor,,
Breastplate,,Armor,,
Splint Mail,,Armor,,
Banded Mail,,Armor,,
Half-plate,,Armor,,
Buckler,,Armor,,
Full Plate,,Armor,,
Light Wooden Shield,,Armor,,
Light Steel Shield,,Armor,,
Heavy Wooden Shield,,Armor,,
Heavy Steel Shield,,Armor,,
Tower Shield,,Armor,,
Armor Spikes,,Armor,,
Locked Gauntlet,,Armor,,
Shield Spikes,,Armor,,
Don,,Armor,,
Don Hastily,,Armor,,
Remove,,Armor,,
